router,host,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med
2,350.0,10800.0,366.0,4490.0,2006.0,2483.0,76.0,0.0,194.0,0.5301,0.0,9.3402,2774.7634,2043.3,2.433,2.0,6585.1118,6777.0
2,360.0,10800.0,366.0,5091.0,1999.0,3092.0,57.0,0.0,182.0,0.4973,0.0,9.9835,2731.2258,2087.0,2.5,3.0,7021.3754,7163.1
2,370.0,10800.0,366.0,4754.0,1992.0,2762.0,56.0,0.0,189.0,0.5164,0.0,9.5397,2688.1926,2349.4,2.6825,3.0,6469.2089,6741.7
2,380.0,10800.0,366.0,4390.0,2001.0,2387.0,57.0,0.0,187.0,0.5109,0.0,9.7005,2977.9797,2619.2,2.492,2.0,6940.5632,6785.1
2,390.0,10800.0,366.0,4717.0,1995.0,2722.0,59.0,0.0,192.0,0.5246,0.0,9.3906,2706.9609,2246.2,2.5885,3.0,6575.3746,6724.2
2,400.0,10800.0,366.0,4479.0,2015.0,2461.0,83.0,0.0,208.0,0.5683,0.0,8.6875,2784.6207,2234.5,2.4231,2.0,6600.3012,6653.3
2,410.0,10800.0,366.0,4762.0,1992.0,2770.0,48.0,0.0,178.0,0.4863,0.0,10.191,2736.1916,2298.3,2.5281,2.0,6927.3125,7560.7
2,420.0,10800.0,366.0,5054.0,1999.0,3055.0,56.0,0.0,197.0,0.5383,0.0,9.1472,3103.3472,2453.4,2.6954,3.0,6372.3304,6057.1
2,430.0,10800.0,366.0,4726.0,2006.0,2720.0,58.0,0.0,192.0,0.5246,0.0,9.4479,2596.5526,2172.3,2.4844,3.0,6910.3724,7218.0
2,440.0,10800.0,366.0,4883.0,2006.0,2877.0,50.0,0.0,197.0,0.5383,0.0,9.1827,2601.7787,2041.7,2.5584,3.0,7001.292,7275.0
2,450.0,10800.0,366.0,5051.0,2009.0,3042.0,47.0,0.0,189.0,0.5164,0.0,9.6296,2777.2196,2322.4,2.5291,2.0,6222.2915,6118.0
2,460.0,10800.0,366.0,4588.0,2000.0,2588.0,45.0,0.0,179.0,0.4891,0.0,10.1732,2646.1575,1912.5,2.4637,2.0,6920.9378,7275.0
2,470.0,10800.0,366.0,4662.0,1989.0,2671.0,43.0,0.0,179.0,0.4891,0.0,10.1117,2863.2827,2379.2,2.5419,3.0,7091.8837,7534.0
2,480.0,10800.0,366.0,4841.0,1992.0,2849.0,39.0,0.0,180.0,0.4918,0.0,10.0667,2926.3606,2537.8,2.6444,3.0,6733.0103,6979.0
2,490.0,10800.0,366.0,4534.0,2014.0,2520.0,41.0,0.0,192.0,0.5246,0.0,9.4896,2634.2927,2017.3,2.5938,3.0,6731.2098,6504.0
2,40.0,14400.0,489.0,6703.0,2429.0,4273.0,1947.0,0.0,182.0,0.3722,0.0,12.3462,2490.2066,1940.3,2.3956,2.0,3272.8635,3040.4
